Flare Class,Start Time,Peak Time,End Time,Active Region Number,Harp Number,CME
M1.9,2016-07-24T17:30Z,2016-07-24T17:43Z,2016-07-24T18:12Z,12567,6670,No
M1.2,2016-07-21T00:42Z,2016-07-21T00:46Z,2016-07-21T00:50Z,12567,6670,No
M1.0,2016-07-21T01:34Z,2016-07-21T01:49Z,2016-07-21T02:04Z,12567,6670,No
M1.2,2016-11-29T23:29Z,2016-11-29T23:38Z,2016-11-29T23:40Z,12615,6870,No
M1.0,2016-11-29T17:19Z,2016-11-29T17:23Z,2016-11-29T17:26Z,12615,6870,No
M5.8,2017-04-03T14:19Z,2017-04-03T14:29Z,2017-04-03T14:34Z,12644,6972,2017-04-03T15:36:00-CME-001
M5.7,2017-04-02T20:26Z,2017-04-02T20:33Z,2017-04-02T20:38Z,12644,6972,No
M5.3,2017-04-02T07:50Z,2017-04-02T08:02Z,2017-04-02T08:13Z,12644,6972,2017-04-02T09:09:00-CME-001
M4.4,2017-04-01T21:35Z,2017-04-01T21:48Z,2017-04-01T22:05Z,12644,6972,2017-04-01T22:12:00-CME-001
M2.3,2017-04-02T12:52Z,2017-04-02T13:00Z,2017-04-02T13:11Z,12644,6972,No
M2.1,2017-04-02T18:18Z,2017-04-02T18:38Z,2017-04-02T19:28Z,12644,6972,2017-04-02T20:09:00-CME-001
M1.2,2017-04-03T00:56Z,2017-04-03T01:05Z,2017-04-03T01:12Z,12644,6972,2017-04-03T01:48:00-CME-001
M2.4,2017-07-14T01:07Z,2017-07-14T02:09Z,2017-07-14T03:24Z,12665,7075,2017-07-14T01:36:00-CME-001
M1.3,2017-07-09T03:09Z,2017-07-09T03:18Z,2017-07-09T03:37Z,12665,7075,No
M1.2,2017-08-20T01:36Z,2017-08-20T01:52Z,2017-08-20T02:03Z,12672,7110,No
X9.3,2017-09-06T11:53Z,2017-09-06T12:02Z,2017-09-06T12:10Z,12673,7115,2017-09-06T12:24:00-CME-001
X8.2,2017-09-10T15:35Z,2017-09-10T16:06Z,2017-09-10T16:31Z,12673,7115,2017-09-10T16:09:00-CME-001
X2.2,2017-09-06T08:57Z,2017-09-06T09:10Z,2017-09-06T09:17Z,12673,7115,No
